Altitude Profile for LCO (Spatial Average)
---------------------------------------------
Pressure (hPa)  | Speed (m/s)  | Direction (deg)
---------------------------------------------
900             | 0.6          | 208.2          
875             | 0.7          | 214.9          
850             | 0.6          | 204.9          
825             | 0.4          | 217.4          
775             | 0.8          | 239.4          
750             | 1.5          | 239.3          
700             | 3.0          | 251.1          
650             | 3.8          | 270.6          
600             | 6.1          | 305.0          
550             | 7.8          | 317.3          
500             | 6.8          | 315.1          
450             | 8.1          | 309.5          
400             | 12.5         | 313.1          
350             | 14.4         | 316.4          
300             | 21.6         | 338.4          
250             | 24.2         | 336.8          
200             | 25.0         | 345.9          
150             | 15.0         | 335.6          
100             | 9.9          | 326.8          
70              | 8.2          | 299.0          
50              | 8.0          | 193.5          
