Altitude Profile for LCO (Spatial Average)
---------------------------------------------
Pressure (hPa)  | Speed (m/s)  | Direction (deg)
---------------------------------------------
900             | 0.7          | 174.7          
875             | 0.7          | 186.7          
850             | 0.6          | 173.5          
825             | 0.6          | 168.6          
775             | 0.7          | 170.2          
750             | 0.5          | 167.6          
700             | 0.7          | 152.6          
650             | 0.8          | 68.6           
600             | 0.4          | 66.2           
550             | 1.0          | 218.4          
500             | 2.4          | 238.4          
450             | 1.4          | 257.2          
400             | 2.6          | 301.1          
350             | 3.0          | 334.3          
300             | 2.5          | 29.2           
250             | 2.1          | 77.6           
200             | 8.1          | 339.9          
150             | 20.3         | 355.7          
100             | 16.2         | 354.7          
70              | 4.7          | 5.4            
50              | 4.4          | 180.1          
