Altitude Profile for LCO (Spatial Average)
---------------------------------------------
Pressure (hPa)  | Speed (m/s)  | Direction (deg)
---------------------------------------------
900             | 0.4          | 161.8          
875             | 0.4          | 175.5          
850             | 0.3          | 159.1          
825             | 0.3          | 159.2          
775             | 0.0          | 286.8          
750             | 0.0          | 244.2          
700             | 0.2          | 256.6          
650             | 0.3          | 46.7           
600             | 0.3          | 254.8          
550             | 1.8          | 243.1          
500             | 3.2          | 247.1          
450             | 2.7          | 251.4          
400             | 3.1          | 272.4          
350             | 1.9          | 288.6          
300             | 1.9          | 116.9          
250             | 2.7          | 130.7          
200             | 9.7          | 354.4          
150             | 22.3         | 358.9          
100             | 15.9         | 356.6          
70              | 5.9          | 9.3            
50              | 4.5          | 148.9          
