Altitude Profile for LCO (Spatial Average)
---------------------------------------------
Pressure (hPa)  | Speed (m/s)  | Direction (deg)
---------------------------------------------
900             | 0.7          | 161.1          
875             | 0.8          | 170.5          
850             | 0.8          | 173.3          
825             | 0.8          | 174.4          
775             | 0.8          | 210.7          
750             | 1.2          | 239.3          
700             | 3.1          | 261.2          
650             | 4.3          | 266.7          
600             | 5.6          | 294.7          
550             | 7.7          | 313.8          
500             | 7.4          | 317.9          
450             | 8.8          | 314.3          
400             | 15.1         | 314.2          
350             | 17.4         | 318.6          
300             | 22.5         | 333.4          
250             | 25.4         | 335.5          
200             | 27.7         | 345.6          
150             | 16.8         | 329.8          
100             | 11.0         | 326.6          
70              | 5.7          | 355.2          
50              | 5.9          | 180.7          
