Altitude Profile for LCO (Spatial Average)
---------------------------------------------
Pressure (hPa)  | Speed (m/s)  | Direction (deg)
---------------------------------------------
900             | 0.6          | 200.8          
875             | 0.7          | 209.1          
850             | 0.6          | 205.2          
825             | 0.5          | 210.1          
775             | 0.9          | 235.6          
750             | 1.4          | 244.6          
700             | 3.0          | 254.9          
650             | 4.0          | 267.6          
600             | 6.0          | 302.1          
550             | 7.9          | 316.6          
500             | 7.2          | 317.6          
450             | 8.3          | 312.0          
400             | 13.2         | 312.7          
350             | 15.2         | 316.3          
300             | 21.7         | 337.0          
250             | 24.5         | 335.4          
200             | 25.5         | 345.6          
150             | 15.4         | 333.2          
100             | 10.5         | 328.6          
70              | 6.7          | 311.3          
50              | 6.4          | 196.7          
