Altitude Profile for LCO (Spatial Average)
---------------------------------------------
Pressure (hPa)  | Speed (m/s)  | Direction (deg)
---------------------------------------------
900             | 0.6          | 161.2          
875             | 0.4          | 174.9          
850             | 0.4          | 160.4          
825             | 0.4          | 161.0          
775             | 0.1          | 205.2          
750             | 0.1          | 266.7          
700             | 0.3          | 212.8          
650             | 0.5          | 52.5           
600             | 0.0          | 169.9          
550             | 1.4          | 230.2          
500             | 2.8          | 243.0          
450             | 2.2          | 252.5          
400             | 2.9          | 282.6          
350             | 2.3          | 313.1          
300             | 1.7          | 66.9           
250             | 2.2          | 105.6          
200             | 9.3          | 345.6          
150             | 21.4         | 355.5          
100             | 16.0         | 356.1          
70              | 5.1          | 9.2            
50              | 4.1          | 164.9          
